date,open,high,low,trendEstimation1,trendEstimation2
1964-10-30T00:00:00.000000000,377.56955411958313,333.291342251565,346.9783338407653,0.0285356739568054,0.7595145460066394
1964-10-29T00:00:00.000000000,378.711973345361,331.3089402158679,347.24099722747286,0.03164773348466263,0.7947014619222198
1964-10-28T00:00:00.000000000,382.7104406355835,332.0523409792544,347.50366061418055,0.03938312141783389,0.8284082268355296
1964-10-27T00:00:00.000000000,385.8520935064726,335.02594403279994,352.2316015749176,0.05109810553377009,0.834072219340974
1964-10-26T00:00:00.000000000,386.99451273225054,337.008346068497,354.07024528187105,0.046265853343001595,0.8123607248521824
1964-10-23T00:00:00.000000000,386.2805007161392,335.2737442872621,352.2316015749176,0.044335473539785286,0.7930471379522931
1964-10-22T00:00:00.000000000,386.99451273225054,338.24734734080766,355.9088889888244,0.0399960954203472,0.8044585082401192
1964-10-21T00:00:00.000000000,388.7081415709173,338.24734734080766,356.17155237553186,0.04070347834585442,0.8154699719259277
1964-10-20T00:00:00.000000000,385.8520935064726,337.87564695911436,354.85823544199377,0.033056869394011194,0.8199412163914317
1964-10-19T00:00:00.000000000,384.42406947425036,335.02594403279994,352.7569283483329,0.02160961258536303,0.8316289894905762
1964-10-16T00:00:00.000000000,386.99451273225054,336.26494530511064,353.2822551217482,0.03457137659177614,0.845638961576998
1964-10-15T00:00:00.000000000,387.28011753869487,337.5039465774213,354.59557205528625,0.03843006949604608,0.8573975663244504
1964-10-14T00:00:00.000000000,384.9952790871393,336.0171450506485,352.7569283483329,0.03851298360100328,0.8611969604737452
1964-10-13T00:00:00.000000000,382.1392310226946,334.77814377833784,350.9182846413796,0.02311627775661522,0.8765251192904824
1964-10-12T00:00:00.000000000,386.99451273225054,335.7693447961863,350.7869529480257,0.026160227188590547,0.9139587606096427
1964-10-09T00:00:00.000000000,397.5618905706957,346.1769554835958,363.26346381663774,0.06282166510387617,0.9358060439007151
1964-10-08T00:00:00.000000000,396.4194713449179,346.1769554835958,364.31411736346814,0.07093982844217882,0.9299501800746753
1964-10-07T00:00:00.000000000,393.7062256836954,345.1857544657473,361.4248201096843,0.05645023109612346,0.927781226917174
1964-10-06T00:00:00.000000000,396.1338665384733,344.9379542112851,361.9501468830996,0.07502529997856765,0.9224134714511926
1964-10-05T00:00:00.000000000,396.9906809578068,348.40715777375505,363.26346381663774,0.0668594631987324,0.9074626329738746
1964-10-02T00:00:00.000000000,394.4202376998066,349.89395930052774,361.4248201096843,0.03513940963744314,0.8828205138036102
1964-10-01T00:00:00.000000000,383.2816502484724,343.45115268451235,351.4436114147949,0.01108411367062653,0.8567841865095168
1964-09-30T00:00:00.000000000,387.56572234513936,336.26494530511064,352.3629332682715,0.02843496936779357,0.8623168357138901
1964-09-29T00:00:00.000000000,390.421770409584,339.73414886758036,356.17155237553186,0.01720445503320758,0.851412375886548
1964-09-28T00:00:00.000000000,388.4225367644728,340.22974937650474,357.22220592236243,0.006150191612922857,0.8296787901622412
1964-09-25T00:00:00.000000000,388.4225367644728,339.4863486131183,355.9088889888244,0.011995653873564409,0.8107485024863816
1964-09-24T00:00:00.000000000,384.1384646678058,337.2561463229591,352.2316015749176,-0.003508075639412173,0.7899722287269763
1964-09-23T00:00:00.000000000,386.1376983129171,336.26494530511064,352.4942649616253,0.008973671221793045,0.7813745695477516
1964-09-22T00:00:00.000000000,386.1376983129171,340.7253498854289,355.1208988287014,0.0024029309605805545,0.7660289684026961
1964-09-21T00:00:00.000000000,394.7058425062511,342.4599516666638,360.37416656285376,0.03211386193435243,0.7469690212990828
1964-09-18T00:00:00.000000000,394.1346328933622,346.424755738058,361.4248201096843,0.01654272277127102,0.6960314410918742
1964-09-17T00:00:00.000000000,388.7081415709173,343.20335243005024,357.48486930907006,0.012739768324942112,0.6262500404569582
1964-09-16T00:00:00.000000000,386.1376983129171,339.4863486131183,354.07024528187105,0.0016781276843976978,0.5472407894677773
1964-09-15T00:00:00.000000000,382.7104406355835,336.26494530511064,349.86763109454904,-0.01926778329074433,0.4441954743905822
1964-09-14T00:00:00.000000000,376.9983445066942,333.7869427604893,346.7156704540577,-0.030442873546940072,0.315174679605085
1964-09-11T00:00:00.000000000,372.71427241002715,330.0699389435573,342.7757196534434,-0.03801258459797588,0.1808307761917857
1964-09-10T00:00:00.000000000,362.7509323231427,317.3221785557882,332.9585497786049,-0.07372406634808602,0.04702556168200747
1964-09-09T00:00:00.000000000,361.61289018252097,316.33209375530214,331.911921724291,-0.07794256733220543,0.027819385307572407
1964-09-08T00:00:00.000000000,364.7425060692305,317.445939155849,332.3044072446587,-0.06996252660888054,0.023530795639642457
1964-09-04T00:00:00.000000000,364.7425060692305,320.04491175712496,335.44429140760036,-0.0817103683780317,-0.029579435498243354
1964-09-03T00:00:00.000000000,362.7509323231427,317.3221785557882,332.6968927650265,-0.07864234564181305,-0.09224740266217814
1964-09-02T00:00:00.000000000,358.767784830967,314.97072715463383,329.81866561566324,-0.08908166297225255,-0.13345639542721938
1964-09-01T00:00:00.000000000,361.61289018252097,315.9608119551199,329.81866561566324,-0.08185788551763147,-0.114639966819797
1964-08-31T00:00:00.000000000,364.7425060692305,317.3221785557882,331.78109321750185,-0.07717720376494727,-0.13994346761929805
1964-08-28T00:00:00.000000000,360.7593585770549,317.3221785557882,331.65026471071263,-0.1021348258754261,-0.22622458318912528
1964-08-27T00:00:00.000000000,365.027016604386,317.56969975590977,332.8277212718157,-0.07547938947007189,-0.25347186760490653
1964-08-26T00:00:00.000000000,364.17348499891966,319.3023481567604,333.08937828539416,-0.0414370612233099,-0.3744266990043811
1964-08-25T00:00:00.000000000,359.47906116885554,315.09448775469457,328.9028660681386,-0.04468191881033188,-0.5050180659818501
1964-08-24T00:00:00.000000000,353.0775741278589,313.9806423541477,324.5855253440938,-0.070643275764162,-0.5462410359414114
1964-08-21T00:00:00.000000000,353.0775741278589,307.668851751049,323.6697257965692,-0.07336268095578087,-0.46188673601331387
1964-08-20T00:00:00.000000000,365.027016604386,321.77756015797564,331.65026471071263,-0.058594323768890344,-0.3661248580575799
1964-08-19T00:00:00.000000000,365.59603767469673,319.4261087568212,334.92097738044345,-0.046727480290425935,-0.5267961573820192
1964-08-18T00:00:00.000000000,364.7425060692305,319.54986935688186,334.92097738044345,-0.04403259879959127,-0.7729208262570163
1964-08-17T00:00:00.000000000,361.32837964736564,318.18850275621355,332.3044072446587,-0.05577231989632872,-1.1100891851730952
1964-08-14T00:00:00.000000000,357.6297426903454,313.3618393538439,328.9028660681386,-0.043228126002573905,-1.3767938156912993
1964-08-13T00:00:00.000000000,360.190337506744,314.84696655457304,329.03369457492784,-0.04893423832748208,-1.4271354088151407
1964-08-12T00:00:00.000000000,354.78463733879136,314.84696655457304,326.2862959323539,-0.05476182641069678,-1.648677777855992
1964-08-11T00:00:00.000000000,354.78463733879136,310.1440637522642,325.76298190519697,-0.06460073676776,-1.5925287114802742
