Date,Open,High,Low,Last,Volume,Open Interest
2007-11-13,810.25,815.0,796.0,801.75,3502.0,35753.0
2007-11-12,812.0,818.25,800.0,810.25,3199.0,34859.0
2007-11-09,814.0,818.25,799.0,813.0,1196.0,34765.0
2007-11-08,839.75,840.75,816.0,818.0,3199.0,34859.0
2007-11-07,849.75,859.0,835.0,839.5,2726.0,34261.0
2007-11-06,828.0,846.0,826.0,842.75,3118.0,33819.0
2007-11-05,817.0,831.0,812.0,827.5,3810.0,33071.0
2007-11-02,813.0,818.25,809.5,817.0,3098.0,31315.0
2007-11-01,839.0,846.0,809.75,812.0,3467.0,31271.0
2007-10-31,839.0,848.5,825.0,839.75,2045.0,30324.0
2007-10-30,855.0,860.0,838.75,840.75,2319.0,30028.0
2007-10-29,829.0,859.0,829.0,856.0,1343.0,29661.0
2007-10-26,826.0,834.75,819.0,829.0,2704.0,29576.0
2007-10-25,827.0,834.0,812.25,826.0,2886.0,28757.0
2007-10-24,859.0,859.0,829.25,829.25,2985.0,28642.0
2007-10-23,888.5,892.0,858.0,859.25,3296.0,28142.0
2007-10-22,864.0,889.0,853.0,888.0,1180.0,26793.0
2007-10-19,845.0,869.0,838.25,869.0,2572.0,27104.0
2007-10-18,835.0,844.0,833.0,839.0,2039.0,26697.0
2007-10-17,839.5,846.0,830.0,834.75,3177.0,26121.0
2007-10-16,848.25,848.25,828.0,839.25,3505.0,25450.0
2007-10-15,866.5,872.0,840.0,849.25,2785.0,25317.0
2007-10-12,890.0,891.5,860.0,870.0,1863.0,24922.0
2007-10-11,856.0,886.0,856.0,886.0,3129.0,24178.0
2007-10-10,848.0,862.0,843.0,856.0,3295.0,23797.0
2007-10-09,843.0,872.0,836.0,848.75,5622.0,23525.0
2007-10-08,890.0,890.0,860.0,860.0,3069.0,22879.0
2007-10-05,905.0,906.0,884.0,890.0,4794.0,21748.0
2007-10-04,910.0,925.0,897.0,901.0,3683.0,20755.0
2007-10-03,890.25,919.0,874.0,902.0,3652.0,19690.0
2007-10-02,931.0,937.5,894.5,895.0,2038.0,18581.0
2007-10-01,910.0,930.75,910.0,924.5,3243.0,18467.0
2007-09-28,881.0,918.25,881.0,910.75,4450.0,17562.0
2007-09-27,873.0,896.0,873.0,888.25,3691.0,16152.0
2007-09-26,849.0,873.25,843.0,873.25,2778.0,14993.0
2007-09-25,842.25,860.0,837.0,843.25,1939.0,14243.0
2007-09-24,830.0,852.0,830.0,841.25,1434.0,13431.0
2007-09-21,813.5,837.0,813.5,833.0,1702.0,12999.0
2007-09-20,804.0,820.5,802.0,810.25,1668.0,12352.0
2007-09-19,821.0,825.0,792.5,804.75,1215.0,12178.0
2007-09-18,827.25,847.0,821.0,821.75,1553.0,11608.0
2007-09-17,797.25,827.25,797.25,827.25,1225.0,10917.0
2007-09-14,788.25,809.0,779.5,795.0,4834.0,48846.0
2007-09-13,799.0,815.0,778.5,789.5,7120.0,48831.0
2007-09-12,831.0,849.0,802.0,803.5,9447.0,49549.0
2007-09-11,798.0,828.0,797.0,827.0,6326.0,48770.0
2007-09-10,777.0,804.0,777.0,798.0,5204.0,48594.0
2007-09-07,760.25,780.0,754.0,774.0,5042.0,48589.0
2007-09-06,779.75,781.5,752.25,759.75,9308.0,48673.0
2007-09-05,761.5,771.5,750.0,771.5,7474.0,47462.0
2007-09-04,718.5,741.5,718.0,741.5,4031.0,48189.0
2007-08-31,703.5,731.0,701.0,711.5,7746.0,48310.0
2007-08-30,687.5,714.0,686.75,705.75,9821.0,47240.0
2007-08-29,678.0,689.0,676.0,687.25,6869.0,44670.0
2007-08-28,677.0,686.0,672.5,679.0,6505.0,42699.0
2007-08-27,681.0,684.0,675.5,677.25,3361.0,41625.0
2007-08-24,680.5,685.5,676.5,683.0,4167.0,40866.0
2007-08-23,672.25,688.0,666.0,681.5,8642.0,40369.0
2007-08-22,660.0,675.5,658.5,671.5,7801.0,39477.0
2007-08-21,656.0,666.0,656.0,658.5,5405.0,37851.0
2007-08-20,651.0,657.0,647.0,655.0,4846.0,37215.0
2007-08-17,660.0,663.0,651.0,657.5,2601.0,36239.0
2007-08-16,670.0,670.75,641.25,660.5,4301.0,36245.0
2007-08-15,679.0,690.0,666.0,670.75,4493.0,35776.0
2007-08-14,666.5,685.0,666.0,679.25,4517.0,35214.0
2007-08-13,665.0,672.0,659.5,665.75,5621.0,34247.0
2007-08-10,671.0,676.0,661.0,663.5,5061.0,33209.0
2007-08-09,676.75,685.0,671.0,672.0,4969.0,32528.0
2007-08-08,665.0,680.0,664.0,677.0,4525.0,31339.0
2007-08-07,663.5,670.0,661.5,665.0,3881.0,29356.0
2007-08-06,655.0,666.75,650.0,662.75,3272.0,28383.0
2007-08-03,650.0,658.5,650.0,655.25,1423.0,27185.0
2007-08-02,646.0,657.5,646.0,650.75,1754.0,26982.0
2007-08-01,643.0,646.0,634.0,646.0,2504.0,26425.0
2007-07-31,646.5,648.0,637.25,641.25,2180.0,26145.0
2007-07-30,657.0,660.5,640.5,645.5,2178.0,25744.0
2007-07-27,651.0,659.0,651.0,657.25,1650.0,26541.0
2007-07-26,647.0,669.0,647.0,657.0,3453.0,26048.0
2007-07-25,651.5,653.0,646.0,647.0,1493.0,25754.0
2007-07-24,634.5,660.0,634.5,653.25,3734.0,25465.0
2007-07-23,633.0,648.5,633.0,633.75,1290.0,25852.0
2007-07-20,636.0,644.0,631.0,633.0,2386.0,25804.0
2007-07-19,638.0,645.5,626.0,632.25,2930.0,25943.0
2007-07-18,622.0,640.0,621.5,638.0,3053.0,25509.0
2007-07-17,625.25,636.0,621.25,621.5,1869.0,25297.0
2007-07-16,635.0,635.0,620.5,625.25,1296.0,25395.0
2007-07-13,632.0,632.0,626.0,630.0,3967.0,22040.0
2007-07-12,626.75,634.0,621.0,632.0,2878.0,22014.0
2007-07-11,609.5,630.0,609.5,628.0,3111.0,21896.0
2007-07-10,608.25,618.0,608.25,609.75,1843.0,21441.0
2007-07-09,619.0,620.0,607.5,610.0,1762.0,21847.0
2007-07-06,613.0,620.5,613.0,619.25,1786.0,21820.0
2007-07-05,612.0,617.5,607.5,615.0,2704.0,21891.0
2007-07-03,605.0,608.0,593.75,602.25,2830.0,21982.0
2007-07-02,624.25,634.0,594.75,605.0,4291.0,21956.0
2007-06-29,622.25,652.0,612.0,624.25,3523.0,22587.0
2007-06-28,614.0,626.0,613.5,622.0,4327.0,22522.0
2007-06-27,615.5,628.75,608.0,615.75,5655.0,22161.0
2007-06-26,594.0,623.5,593.75,612.5,5380.0,21449.0
2007-06-25,593.0,601.5,592.0,593.5,3548.0,20620.0
2007-06-22,603.25,605.0,592.0,596.5,4468.0,19263.0
2007-06-21,596.5,612.0,595.0,607.0,4991.0,18353.0
2007-06-20,582.0,607.0,581.0,596.5,3957.0,17208.0
2007-06-19,590.0,593.75,579.0,582.0,3457.0,16418.0
2007-06-18,596.25,597.0,589.5,595.0,1918.0,16097.0
2007-06-15,600.0,602.75,593.0,595.0,2658.0,15415.0
2007-06-14,592.0,606.0,588.75,600.0,4751.0,14896.0
2007-06-13,572.75,599.0,568.75,593.0,3721.0,14502.0
2007-06-12,564.0,581.5,558.0,573.0,2275.0,13779.0
2007-06-11,541.0,571.75,541.0,564.75,2486.0,13883.0
2007-06-08,537.5,542.0,530.0,541.75,2536.0,13339.0
2007-06-07,533.0,540.0,527.0,537.75,2401.0,13825.0
2007-06-06,543.0,543.0,528.5,532.5,1098.0,13147.0
2007-06-05,538.5,550.0,538.5,541.5,947.0,13416.0
2007-06-04,540.0,549.0,534.5,538.25,1357.0,13240.0
2007-06-01,536.25,545.0,535.5,541.75,2534.0,13274.0
2007-05-31,528.75,541.5,526.0,541.0,2774.0,12764.0
2007-05-30,515.0,534.0,514.5,528.75,1339.0,13208.0
2007-05-29,524.5,525.0,512.75,514.0,407.0,13009.0
2007-05-25,518.0,524.5,516.0,524.25,943.0,12862.0
2007-05-24,507.0,517.0,506.0,515.25,570.0,12800.0
2007-05-23,500.0,506.0,500.0,505.0,821.0,12788.0
2007-05-22,502.5,503.0,496.5,499.0,652.0,13021.0
2007-05-21,498.5,507.0,498.5,506.5,818.0,13178.0
2007-05-18,513.0,513.0,499.5,499.75,697.0,13069.0
2007-05-17,512.5,516.5,509.5,511.5,326.0,13012.0
2007-05-16,522.0,522.0,517.0,519.0,373.0,12947.0
2007-05-15,512.5,524.5,511.5,522.0,600.0,12910.0
2007-05-14,520.0,525.5,518.0,521.25,1106.0,17856.0
2007-05-11,511.25,521.0,510.0,519.0,2016.0,18173.0
2007-05-10,513.75,518.0,509.0,510.25,3337.0,18066.0
2007-05-09,509.75,514.0,509.0,513.0,2462.0,19434.0
