Date,Open,High,Low,Close,Volume,Open Interest
2019-01-07,21200.0,21280.0,20880.0,20940.0,2087.0,8281.0
2019-01-04,21000.0,21120.0,21000.0,21070.0,1119.0,8274.0
2019-01-03,20890.0,21130.0,20870.0,21030.0,1855.0,8277.0
2019-01-02,21080.0,21150.0,20950.0,20970.0,2020.0,8147.0
2019-01-01,21040.0,21150.0,21030.0,21100.0,827.0,8066.0
2018-12-31,21020.0,21180.0,21020.0,21090.0,2197.0,8083.0
2018-12-28,20640.0,20710.0,20560.0,20690.0,757.0,937.0
2018-12-27,20730.0,20910.0,20590.0,20610.0,814.0,1049.0
2018-12-26,20570.0,20700.0,20420.0,20640.0,1731.0,1060.0
2018-12-24,20880.0,20880.0,20300.0,20630.0,3239.0,1670.0
2018-12-21,21020.0,21230.0,20740.0,20770.0,3560.0,2935.0
2018-12-20,21450.0,21510.0,21220.0,21270.0,1954.0,4006.0
2018-12-19,21410.0,21630.0,21410.0,21540.0,1101.0,4253.0
2018-12-18,21650.0,21710.0,21520.0,21560.0,2167.0,4260.0
2018-12-17,21880.0,21990.0,21700.0,21740.0,2853.0,4361.0
2018-12-14,21800.0,21980.0,21750.0,21890.0,1884.0,4926.0
2018-12-13,22030.0,22110.0,21800.0,21820.0,2328.0,4974.0
2018-12-12,22180.0,22200.0,22050.0,22070.0,1563.0,5143.0
2018-12-11,22210.0,22300.0,22070.0,22220.0,1802.0,5244.0
2018-12-10,21950.0,22240.0,21950.0,22180.0,2873.0,5537.0
2018-12-07,21730.0,21990.0,21650.0,21910.0,1231.0,5651.0
2018-12-06,21940.0,22030.0,21760.0,21790.0,2080.0,5587.0
2018-12-05,21910.0,22000.0,21840.0,21970.0,1307.0,5798.0
2018-12-04,21950.0,21990.0,21800.0,21900.0,1964.0,5899.0
2018-12-03,21560.0,22080.0,21560.0,22050.0,3842.0,5928.0
2018-11-30,21630.0,21690.0,21500.0,21520.0,1355.0,6570.0
2018-11-29,21800.0,21800.0,21570.0,21650.0,1837.0,6643.0
2018-11-28,21820.0,21830.0,21640.0,21780.0,1466.0,6846.0
2018-11-27,21720.0,21870.0,21640.0,21800.0,2390.0,6780.0
2018-11-26,21670.0,21810.0,21500.0,21710.0,2364.0,6384.0
2018-11-23,21930.0,21960.0,21710.0,21750.0,673.0,6093.0
2018-11-22,22000.0,22010.0,21860.0,21920.0,799.0,6149.0
2018-11-21,21760.0,22080.0,21720.0,22000.0,1343.0,6052.0
2018-11-20,22020.0,22190.0,21800.0,21820.0,1998.0,6075.0
2018-11-19,22410.0,22470.0,22010.0,22050.0,2152.0,5886.0
2018-11-16,22490.0,22560.0,22350.0,22430.0,1539.0,5554.0
2018-11-15,22510.0,22550.0,22470.0,22490.0,976.0,5410.0
2018-11-14,22500.0,22540.0,22420.0,22500.0,1327.0,5287.0
2018-11-13,22550.0,22630.0,22470.0,22500.0,1019.0,5061.0
2018-11-12,22580.0,22790.0,22500.0,22580.0,1686.0,4952.0
2018-11-09,22550.0,22700.0,22460.0,22490.0,896.0,4750.0
2018-11-08,22500.0,22590.0,22490.0,22570.0,239.0,4762.0
2018-11-07,22350.0,22520.0,22350.0,22450.0,428.0,4676.0
2018-11-06,22450.0,22640.0,22350.0,22370.0,779.0,4592.0
2018-11-05,22520.0,22590.0,22400.0,22520.0,1002.0,4637.0
2018-11-01,22340.0,22790.0,22260.0,22700.0,1134.0,4793.0
2018-10-31,22500.0,22600.0,22360.0,22390.0,528.0,4789.0
2018-10-30,22560.0,22620.0,22500.0,22500.0,333.0,4834.0
2018-10-29,22840.0,22860.0,22500.0,22550.0,973.0,4948.0
2018-10-26,22800.0,22900.0,22720.0,22790.0,689.0,5049.0
2018-10-25,22720.0,22840.0,22640.0,22710.0,1077.0,5088.0
2018-10-24,22780.0,23040.0,22740.0,22910.0,749.0,5073.0
2018-10-23,23010.0,23090.0,22800.0,22830.0,1174.0,5033.0
2018-10-22,22660.0,23030.0,22660.0,22980.0,1001.0,4741.0
2018-10-19,22590.0,22750.0,22580.0,22600.0,434.0,4597.0
2018-10-18,22390.0,22630.0,22380.0,22610.0,176.0,4583.0
2018-10-17,22760.0,22780.0,22460.0,22470.0,719.0,4547.0
2018-10-16,22900.0,22910.0,22730.0,22760.0,448.0,4672.0
2018-10-12,22460.0,22940.0,22460.0,22870.0,784.0,4663.0
2018-10-11,22400.0,22480.0,22380.0,22400.0,246.0,4644.0
2018-10-10,22430.0,22510.0,22350.0,22440.0,246.0,4621.0
2018-10-09,22460.0,22590.0,22420.0,22440.0,463.0,4605.0
2018-10-08,22400.0,22460.0,22350.0,22370.0,313.0,4576.0
2018-10-05,22080.0,22320.0,22080.0,22280.0,306.0,4563.0
2018-10-04,22260.0,22270.0,21990.0,22080.0,418.0,4536.0
2018-10-03,22050.0,22220.0,22040.0,22210.0,567.0,4584.0
2018-09-28,22100.0,22140.0,21900.0,21960.0,313.0,4458.0
2018-09-27,22310.0,22320.0,22120.0,22140.0,355.0,4445.0
2018-09-26,22370.0,22450.0,22270.0,22350.0,445.0,4412.0
2018-09-25,22320.0,22410.0,22230.0,22350.0,432.0,4290.0
2018-09-24,22490.0,22490.0,22320.0,22360.0,245.0,4241.0
2018-09-21,22320.0,22380.0,22200.0,22340.0,561.0,4259.0
2018-09-20,22370.0,22400.0,22300.0,22330.0,350.0,4300.0
2018-09-19,22400.0,22540.0,22330.0,22400.0,1026.0,4419.0
2018-09-18,22710.0,22730.0,22450.0,22480.0,917.0,4793.0
2018-09-17,22670.0,22760.0,22590.0,22730.0,830.0,4550.0
2018-09-14,22700.0,22700.0,22620.0,22670.0,557.0,4483.0
2018-09-13,22840.0,22840.0,22710.0,22730.0,291.0,4297.0
2018-09-12,22950.0,22980.0,22870.0,22900.0,131.0,4171.0
2018-09-11,23000.0,23100.0,22880.0,22930.0,942.0,4186.0
2018-09-10,22900.0,23040.0,22810.0,23030.0,1038.0,3752.0
2018-09-07,22580.0,22880.0,22460.0,22850.0,705.0,3387.0
2018-09-06,22650.0,22670.0,22600.0,22620.0,171.0,3168.0
2018-09-05,22560.0,22750.0,22500.0,22660.0,788.0,3108.0
2018-09-04,22510.0,22560.0,22410.0,22490.0,394.0,2725.0
2018-08-30,22610.0,22700.0,22490.0,22550.0,808.0,2280.0
2018-08-29,22750.0,22820.0,22550.0,22600.0,581.0,1986.0
2018-08-28,22670.0,22850.0,22620.0,22770.0,569.0,1811.0
2018-08-24,22650.0,22790.0,22580.0,22770.0,259.0,1405.0
2018-08-23,22640.0,22670.0,22580.0,22650.0,172.0,1293.0
2018-08-22,22720.0,22760.0,22700.0,22730.0,54.0,1213.0
2018-08-21,22820.0,22920.0,22800.0,22850.0,203.0,1210.0
2018-08-20,22830.0,22850.0,22750.0,22830.0,191.0,1260.0
2018-08-17,22940.0,22940.0,22670.0,22770.0,218.0,1303.0
2018-08-16,23000.0,23010.0,22770.0,23000.0,409.0,1302.0
2018-08-14,23180.0,23190.0,23000.0,23120.0,396.0,1276.0
2018-08-13,23420.0,23440.0,23110.0,23130.0,236.0,1464.0
2018-08-09,23320.0,23430.0,23300.0,23380.0,184.0,1480.0
2018-08-08,23420.0,23440.0,23350.0,23390.0,87.0,1488.0
2018-08-07,23400.0,23550.0,23330.0,23380.0,143.0,1440.0
2018-08-06,23300.0,23340.0,23200.0,23320.0,49.0,1454.0
2018-08-03,23450.0,23450.0,23170.0,23190.0,111.0,1476.0
2018-08-02,23420.0,23500.0,23380.0,23430.0,124.0,1453.0
2018-08-01,23460.0,23640.0,23400.0,23550.0,103.0,1436.0
2018-07-31,23310.0,23580.0,23300.0,23500.0,363.0,1408.0
2018-07-30,23000.0,23390.0,23000.0,23350.0,204.0,1256.0
2018-07-27,23000.0,23130.0,22970.0,23090.0,89.0,1171.0
2018-07-26,23000.0,23140.0,22900.0,22960.0,84.0,1129.0
2018-07-25,22910.0,23080.0,22900.0,22980.0,37.0,1071.0
2018-07-24,22800.0,22980.0,22740.0,22900.0,37.0,1065.0
2018-07-23,22900.0,22930.0,22820.0,22830.0,172.0,1066.0
2018-07-20,23170.0,23200.0,22960.0,22970.0,59.0,1071.0
2018-07-19,23200.0,23230.0,23100.0,23140.0,90.0,1092.0
2018-07-18,23080.0,23270.0,23080.0,23210.0,103.0,1126.0
2018-07-17,23000.0,23100.0,22920.0,23070.0,174.0,1115.0
2018-07-16,23070.0,23150.0,23000.0,23020.0,106.0,1102.0
2018-07-13,23100.0,23250.0,23000.0,23120.0,168.0,1091.0
2018-07-12,22830.0,23020.0,22830.0,22960.0,159.0,1081.0
2018-07-11,22700.0,22970.0,22700.0,22850.0,89.0,1016.0
2018-07-10,22940.0,22950.0,22790.0,22900.0,144.0,1035.0
2018-07-09,22750.0,22960.0,22750.0,22900.0,205.0,1073.0
2018-07-06,22540.0,22700.0,22540.0,22700.0,162.0,1084.0
2018-07-05,22450.0,22880.0,22400.0,22540.0,251.0,1054.0
