Date,Open,Bid,Ask,Last Traded,High,Low,Volume,Prev. Day Settlement Price,Net Change,Prev. Day Open Interest
2019-08-06,25200.0,,,,25929.0,25158.0,2351.0,25887.0,-63.0,18238.0
2019-08-05,26350.0,,,,26470.0,25925.0,2203.0,25950.0,-784.0,17743.0
2019-08-02,26727.0,,,,26873.0,26691.0,2002.0,26734.0,-646.0,18464.0
2019-08-01,27494.0,,,,27583.0,27357.0,1151.0,27380.0,-302.0,18822.0
2019-07-31,27842.0,,,,27842.0,27563.0,462.0,27682.0,-368.0,18659.0
2019-07-30,28089.0,,,,28226.0,28033.0,132377.0,28124.0,33.0,95321.0
2019-07-29,28232.0,,,,28284.0,27894.0,96776.0,28091.0,-259.0,60564.0
2019-07-26,28365.0,,,,28444.0,28273.0,56545.0,28350.0,-199.0,28742.0
2019-07-25,28550.0,,,,28613.0,28484.0,30662.0,28549.0,46.0,9122.0
2019-07-24,28550.0,,,,28732.0,28480.0,8164.0,28503.0,78.0,4737.0
2019-07-23,28384.0,,,,28444.0,28258.0,2661.0,28425.0,88.0,3784.0
2019-07-22,28600.0,,,,28657.0,28252.0,1830.0,28337.0,-447.0,2974.0
2019-07-19,28580.0,,,,28802.0,28562.0,1512.0,28784.0,392.0,2402.0
2019-07-18,28290.0,,,,28483.0,28283.0,640.0,28392.0,-193.0,2380.0
2019-07-17,28455.0,,,,28610.0,28328.0,471.0,28585.0,-6.0,2141.0
2019-07-16,28580.0,,,,28628.0,28450.0,809.0,28591.0,102.0,1819.0
2019-07-15,28351.0,,,,28565.0,28047.0,638.0,28489.0,-22.0,1632.0
2019-07-12,28354.0,,,,28580.0,28351.0,286.0,28511.0,84.0,1517.0
2019-07-11,28368.0,,,,28580.0,28350.0,633.0,28427.0,247.0,1307.0
2019-07-10,28263.0,,,,28318.0,28133.0,518.0,28180.0,100.0,1004.0
2019-07-09,28354.0,,,,28354.0,28078.0,420.0,28080.0,-267.0,874.0
2019-07-08,28603.0,,,,28603.0,28198.0,477.0,28347.0,-411.0,835.0
2019-07-05,28880.0,,,,28921.0,28746.0,668.0,28758.0,-64.0,709.0
2019-07-04,28922.0,,,,29033.0,28820.0,418.0,28822.0,-77.0,509.0
2019-07-03,28802.0,,,,28906.0,28744.0,467.0,28899.0,-4.0,440.0
2019-07-02,28878.0,,,,29050.0,28788.0,419.0,28903.0,425.0,217.0
2019-06-28,28510.0,,,,28510.0,28346.0,277.0,28478.0,,217.0
2019-06-27,28355.0,,,,28604.0,28255.0,142879.0,28558.0,410.0,105252.0
2019-06-26,28036.0,,,,28231.0,27945.0,93979.0,28148.0,35.0,76439.0
2019-06-25,28385.0,,,,28443.0,28033.0,74186.0,28113.0,-259.0,35373.0
2019-06-24,28300.0,,,,28558.0,28270.0,43142.0,28372.0,-5.0,12137.0
2019-06-21,28428.0,,,,28474.0,28260.0,5592.0,28377.0,-87.0,8130.0
2019-06-20,28248.0,,,,28470.0,28136.0,3750.0,28464.0,374.0,6475.0
2019-06-19,27890.0,,,,28139.0,27838.0,3732.0,28090.0,705.0,4971.0
2019-06-18,27171.0,,,,27457.0,27057.0,2246.0,27385.0,298.0,3991.0
2019-06-17,26992.0,,,,27374.0,26992.0,1537.0,27087.0,106.0,3063.0
2019-06-14,26989.0,,,,27105.0,26900.0,678.0,26981.0,-115.0,3063.0
2019-06-13,26965.0,,,,27140.0,26651.0,1062.0,27096.0,30.0,2775.0
2019-06-12,27542.0,,,,27542.0,27054.0,1231.0,27066.0,-564.0,2373.0
2019-06-11,27470.0,,,,27691.0,27449.0,1637.0,27630.0,221.0,1578.0
2019-06-10,27002.0,,,,27456.0,26959.0,1230.0,27409.0,623.0,1033.0
2019-06-06,26698.0,,,,26813.0,26649.0,531.0,26786.0,41.0,999.0
2019-06-05,26835.0,,,,26918.0,26600.0,453.0,26745.0,205.0,829.0
2019-06-04,26806.0,,,,26818.0,26460.0,530.0,26540.0,-116.0,626.0
2019-06-03,26558.0,,,,26755.0,26517.0,828.0,26656.0,-10.0,273.0
2019-05-31,26818.0,,,,26943.0,26648.0,485.0,26666.0,,273.0
2019-05-30,27119.0,,,,27166.0,26849.0,206130.0,26927.0,-142.0,107464.0
2019-05-29,27058.0,,,,27250.0,27000.0,99563.0,27069.0,-114.0,80174.0
2019-05-28,27107.0,,,,27308.0,27041.0,76487.0,27183.0,92.0,42701.0
2019-05-27,27170.0,,,,27216.0,26930.0,36190.0,27091.0,-81.0,24548.0
2019-05-24,27086.0,,,,27291.0,27086.0,17092.0,27172.0,86.0,19219.0
2019-05-23,27250.0,,,,27318.0,26979.0,5211.0,27086.0,-385.0,17165.0
2019-05-22,27461.0,,,,27575.0,27374.0,1239.0,27471.0,57.0,16942.0
2019-05-21,27365.0,,,,27687.0,27323.0,2839.0,27414.0,-76.0,15675.0
2019-05-20,27680.0,,,,27700.0,27394.0,2671.0,27490.0,-103.0,15577.0
2019-05-17,28151.0,,,,28151.0,27500.0,1233.0,27593.0,-355.0,15211.0
2019-05-16,27780.0,,,,28010.0,27661.0,946.0,27948.0,22.0,14844.0
2019-05-15,27735.0,,,,28033.0,27696.0,701.0,27926.0,206.0,14868.0
2019-05-14,27528.0,,,,27827.0,27350.0,1011.0,27720.0,-473.0,14729.0
2019-05-10,28200.0,,,,28455.0,27810.0,1258.0,28193.0,298.0,14678.0
2019-05-09,28480.0,,,,28500.0,27888.0,1488.0,27895.0,-770.0,14340.0
2019-05-08,28560.0,,,,28847.0,28556.0,777.0,28665.0,-312.0,14192.0
2019-05-07,28978.0,,,,29106.0,28800.0,1033.0,28977.0,139.0,14349.0
2019-05-06,29259.0,,,,29259.0,28583.0,1177.0,28838.0,-899.0,14385.0
2019-05-03,29458.0,,,,29746.0,29304.0,755.0,29737.0,204.0,14385.0
2019-05-02,29293.0,,,,29605.0,29275.0,432.0,29533.0,186.0,14423.0
2019-04-30,29476.0,,,,29497.0,29247.0,1576.0,29347.0,-213.0,14074.0
2019-04-29,29511.0,,,,29720.0,29418.0,181296.0,29679.0,303.0,110987.0
2019-04-26,29244.0,,,,29482.0,29243.0,93760.0,29376.0,65.0,87495.0
2019-04-25,29430.0,,,,29638.0,29297.0,68667.0,29311.0,-246.0,43670.0
2019-04-24,29872.0,,,,29925.0,29447.0,64341.0,29557.0,-189.0,9931.0
2019-04-23,29761.0,,,,29860.0,29542.0,11618.0,29746.0,19.0,4854.0
2019-04-18,29855.0,,,,29900.0,29678.0,1267.0,29727.0,-223.0,4204.0
2019-04-17,29945.0,,,,29990.0,29807.0,1608.0,29950.0,32.0,3751.0
2019-04-16,29616.0,,,,29980.0,29493.0,1624.0,29918.0,304.0,2857.0
2019-04-15,29940.0,,,,30120.0,29560.0,1341.0,29614.0,-122.0,2613.0
2019-04-12,29688.0,,,,29840.0,29498.0,613.0,29736.0,126.0,2578.0
2019-04-11,29931.0,,,,30008.0,29590.0,895.0,29610.0,-300.0,2458.0
2019-04-10,29858.0,,,,29980.0,29744.0,944.0,29910.0,-81.0,2111.0
2019-04-09,29936.0,,,,30074.0,29855.0,850.0,29991.0,89.0,1720.0
2019-04-08,29938.0,,,,30000.0,29749.0,844.0,29902.0,114.0,1549.0
2019-04-04,29780.0,,,,29881.0,29603.0,1112.0,29788.0,44.0,1138.0
2019-04-03,29577.0,,,,29823.0,29535.0,802.0,29744.0,222.0,1107.0
2019-04-02,29450.0,,,,29527.0,29370.0,565.0,29522.0,155.0,780.0
2019-04-01,29208.0,,,,29488.0,29195.0,582.0,29367.0,471.0,530.0
2019-03-29,28650.0,,,,29000.0,28647.0,775.0,28896.0,,530.0
2019-03-28,28595.0,,,,28871.0,28575.0,170677.0,28765.0,50.0,107382.0
2019-03-27,28650.0,,,,28821.0,28587.0,100502.0,28715.0,126.0,80775.0
2019-03-26,28730.0,,,,28801.0,28460.0,69370.0,28589.0,26.0,44710.0
2019-03-25,28536.0,,,,28724.0,28466.0,48672.0,28563.0,-568.0,13528.0
2019-03-22,29250.0,,,,29316.0,28887.0,7288.0,29131.0,-29.0,9251.0
2019-03-21,29361.0,,,,29520.0,29122.0,2247.0,29160.0,-210.0,8633.0
2019-03-20,29430.0,,,,29500.0,29308.0,751.0,29370.0,-164.0,8348.0
2019-03-19,29423.0,,,,29583.0,29380.0,1847.0,29534.0,110.0,7363.0
2019-03-18,29180.0,,,,29479.0,29101.0,2167.0,29424.0,342.0,6349.0
2019-03-15,28998.0,,,,29276.0,28877.0,1385.0,29082.0,151.0,5546.0
2019-03-14,28891.0,,,,28990.0,28713.0,1127.0,28931.0,80.0,4931.0
2019-03-13,28894.0,,,,28961.0,28745.0,718.0,28851.0,-88.0,4653.0
2019-03-12,28773.0,,,,29020.0,28760.0,1251.0,28939.0,421.0,3876.0
2019-03-11,28188.0,,,,28560.0,28188.0,1319.0,28518.0,247.0,3274.0
2019-03-08,28505.0,,,,28541.0,28215.0,978.0,28271.0,-494.0,2612.0
2019-03-07,28950.0,,,,29037.0,28765.0,933.0,28765.0,-300.0,2493.0
2019-03-06,28929.0,,,,29120.0,28909.0,853.0,29065.0,138.0,1791.0
2019-03-05,28813.0,,,,29007.0,28719.0,689.0,28927.0,6.0,1581.0
2019-03-04,28903.0,,,,29285.0,28774.0,1241.0,28921.0,152.0,789.0
2019-03-01,28766.0,,,,28870.0,28695.0,375.0,28769.0,68.0,616.0
2019-02-27,28867.0,,,,29038.0,28685.0,188449.0,28737.0,-15.0,108637.0
2019-02-26,28998.0,,,,29020.0,28722.0,112605.0,28752.0,-165.0,77347.0
2019-02-25,28940.0,,,,29039.0,28758.0,77155.0,28917.0,89.0,50378.0
2019-02-22,28509.0,,,,28880.0,28434.0,42966.0,28828.0,166.0,27205.0
2019-02-21,28595.0,,,,28805.0,28377.0,6372.0,28662.0,140.0,25475.0
2019-02-20,28292.0,,,,28582.0,28292.0,6205.0,28522.0,354.0,23886.0
2019-02-19,28338.0,,,,28457.0,28142.0,2489.0,28168.0,-173.0,23007.0
2019-02-18,28232.0,,,,28392.0,28144.0,1546.0,28341.0,464.0,22502.0
2019-02-15,28189.0,,,,28242.0,27790.0,2054.0,27877.0,-470.0,21750.0
2019-02-14,28300.0,,,,28448.0,28233.0,1700.0,28347.0,-58.0,21241.0
2019-02-13,28197.0,,,,28512.0,28110.0,2177.0,28405.0,272.0,20725.0
2019-02-12,28151.0,,,,28182.0,27934.0,1956.0,28133.0,-6.0,19945.0
2019-02-11,27928.0,,,,28155.0,27767.0,1730.0,28139.0,187.0,19320.0
2019-02-08,27669.0,,,,27962.0,27492.0,869.0,27952.0,117.0,19304.0
2019-02-04,27920.0,,,,27950.0,27805.0,217.0,27835.0,-30.0,19321.0
2019-02-01,28182.0,,,,28204.0,27750.0,721.0,27865.0,-195.0,19367.0
2019-01-31,27837.0,,,,28070.0,27731.0,567.0,28060.0,414.0,19218.0
2019-01-30,27500.0,,,,27681.0,27341.0,147310.0,27638.0,103.0,100392.0
2019-01-29,27279.0,,,,27549.0,27279.0,97569.0,27535.0,20.0,76863.0
2019-01-28,27645.0,,,,27768.0,27409.0,64920.0,27515.0,-46.0,46357.0
2019-01-25,27274.0,,,,27574.0,27165.0,42007.0,27561.0,511.0,18464.0
2019-01-24,27017.0,,,,27088.0,26826.0,9123.0,27050.0,108.0,11855.0
2019-01-23,26853.0,,,,27110.0,26830.0,3030.0,26942.0,-12.0,10156.0
2019-01-22,27120.0,,,,27224.0,26798.0,3279.0,26954.0,-240.0,9105.0
2019-01-21,27175.0,,,,27300.0,26975.0,2119.0,27194.0,134.0,7559.0
2019-01-18,26982.0,,,,27100.0,26887.0,3167.0,27060.0,327.0,5766.0
2019-01-17,26913.0,,,,26983.0,26626.0,1161.0,26733.0,-128.0,5282.0
2019-01-16,26640.0,,,,26890.0,26518.0,565.0,26861.0,152.0,5122.0
2019-01-15,26488.0,,,,26819.0,26411.0,1379.0,26709.0,452.0,4271.0
2019-01-14,26517.0,,,,26538.0,26130.0,618.0,26257.0,-396.0,4114.0
2019-01-11,26680.0,,,,26687.0,26488.0,889.0,26653.0,221.0,3933.0
2019-01-10,26351.0,,,,26595.0,26190.0,887.0,26432.0,-45.0,3716.0
2019-01-09,26084.0,,,,26600.0,26084.0,863.0,26477.0,611.0,3511.0
2019-01-08,25912.0,,,,25952.0,25688.0,684.0,25866.0,40.0,3207.0
2019-01-07,25990.0,,,,26047.0,25738.0,1084.0,25826.0,262.0,3092.0
2019-01-04,24885.0,,,,25610.0,24885.0,968.0,25564.0,544.0,2558.0
2019-01-03,25033.0,,,,25196.0,24850.0,868.0,25020.0,73.0,2134.0
2019-01-02,25719.0,,,,25740.0,24964.0,2635.0,24947.0,-876.0,168.0
2018-12-31,25837.0,,,,25930.0,25680.0,283.0,25823.0,,168.0
2018-12-28,25538.0,,,,25639.0,25428.0,139871.0,25569.0,157.0,103349.0
2018-12-27,25906.0,,,,25977.0,25308.0,98385.0,25412.0,-252.0,83961.0
2018-12-24,25510.0,,,,25694.0,25438.0,28242.0,25664.0,-40.0,63960.0
2018-12-21,25511.0,,,,25836.0,25355.0,65371.0,25704.0,122.0,24262.0
2018-12-20,25885.0,,,,25922.0,25430.0,16594.0,25582.0,-393.0,14504.0
2018-12-19,25948.0,,,,25984.0,25855.0,7507.0,25975.0,107.0,9324.0
2018-12-18,25918.0,,,,26241.0,25750.0,2582.0,25868.0,-263.0,8295.0
2018-12-17,26185.0,,,,26275.0,26070.0,3715.0,26131.0,44.0,5062.0
2018-12-14,26270.0,,,,26284.0,26073.0,1349.0,26087.0,-492.0,4775.0
2018-12-13,26430.0,,,,26656.0,26363.0,1364.0,26579.0,299.0,3986.0
2018-12-12,26077.0,,,,26318.0,26070.0,597.0,26280.0,519.0,3675.0
2018-12-11,25688.0,,,,25900.0,25618.0,453.0,25761.0,11.0,3686.0
2018-12-10,25778.0,,,,25861.0,25600.0,712.0,25750.0,-370.0,3505.0
2018-12-07,26321.0,,,,26350.0,26062.0,216.0,26120.0,-84.0,3429.0
2018-12-06,26550.0,,,,26550.0,26060.0,1156.0,26204.0,-604.0,3136.0
2018-12-05,26835.0,,,,26990.0,26781.0,1698.0,26808.0,-506.0,1887.0
2018-12-04,27196.0,,,,27334.0,27094.0,734.0,27314.0,-12.0,1352.0
2018-12-03,27199.0,,,,27356.0,27000.0,1200.0,27326.0,751.0,736.0
2018-11-30,26694.0,,,,26756.0,26469.0,1672.0,26575.0,,736.0
2018-11-29,26876.0,,,,26953.0,26402.0,194714.0,26467.0,-156.0,114535.0
2018-11-28,26361.0,,,,26736.0,26310.0,111702.0,26623.0,344.0,86540.0
2018-11-27,26353.0,,,,26450.0,26156.0,74518.0,26279.0,-146.0,49838.0
2018-11-26,25989.0,,,,26450.0,25989.0,52878.0,26425.0,511.0,24423.0
2018-11-23,26000.0,,,,26071.0,25777.0,5075.0,25914.0,-37.0,22684.0
2018-11-22,26071.0,,,,26113.0,25830.0,4148.0,25951.0,28.0,21514.0
2018-11-21,25489.0,,,,25995.0,25430.0,4576.0,25923.0,120.0,20308.0
2018-11-20,25985.0,,,,26134.0,25731.0,3248.0,25803.0,-511.0,19675.0
2018-11-19,26114.0,,,,26400.0,26106.0,2519.0,26314.0,172.0,19124.0
2018-11-16,26137.0,,,,26208.0,25818.0,1059.0,26142.0,72.0,18971.0
2018-11-15,25850.0,,,,26200.0,25585.0,2633.0,26070.0,497.0,18706.0
2018-11-14,25777.0,,,,25915.0,25463.0,834.0,25573.0,-293.0,18741.0
2018-11-13,25081.0,,,,25872.0,25000.0,1905.0,25866.0,286.0,18005.0
2018-11-12,25499.0,,,,25774.0,25493.0,897.0,25580.0,83.0,17829.0
2018-11-09,25911.0,,,,25946.0,25438.0,2208.0,25497.0,-760.0,17147.0
2018-11-08,26645.0,,,,26645.0,26150.0,612.0,26257.0,67.0,17013.0
2018-11-07,26120.0,,,,26552.0,25906.0,1784.0,26190.0,121.0,16242.0
2018-11-06,26049.0,,,,26188.0,25840.0,1171.0,26069.0,135.0,15874.0
2018-11-05,26074.0,,,,26144.0,25758.0,1091.0,25934.0,-592.0,16014.0
2018-11-02,25860.0,,,,26532.0,25809.0,1763.0,26526.0,1156.0,15582.0
2018-11-01,25085.0,,,,25544.0,25072.0,1004.0,25370.0,432.0,15178.0
2018-10-31,24781.0,,,,24986.0,24717.0,709.0,24938.0,322.0,15080.0
2018-10-30,24746.0,,,,24962.0,24541.0,244739.0,24589.0,-162.0,110564.0
2018-10-29,24885.0,,,,24999.0,24578.0,134817.0,24751.0,93.0,78554.0
2018-10-26,24980.0,,,,25022.0,24524.0,75840.0,24658.0,-243.0,37480.0
2018-10-25,24750.0,,,,24998.0,24608.0,39978.0,24901.0,-320.0,16286.0
2018-10-24,25432.0,,,,25663.0,25190.0,10664.0,25221.0,-124.0,11694.0
2018-10-23,25907.0,,,,25977.0,25211.0,6010.0,25345.0,-795.0,8432.0
2018-10-22,25512.0,,,,26232.0,25500.0,4534.0,26140.0,671.0,7157.0
2018-10-19,25135.0,,,,25730.0,25078.0,2198.0,25469.0,51.0,6642.0
2018-10-18,25669.0,,,,25669.0,25229.0,1662.0,25418.0,19.0,5523.0
2018-10-16,25550.0,,,,25681.0,25223.0,1263.0,25399.0,44.0,4566.0
2018-10-15,25573.0,,,,25643.0,25348.0,2022.0,25355.0,-347.0,4152.0
2018-10-12,25390.0,,,,25787.0,25282.0,1291.0,25702.0,498.0,3003.0
2018-10-11,25400.0,,,,25465.0,25140.0,2070.0,25204.0,-974.0,1717.0
2018-10-10,26268.0,,,,26450.0,26130.0,735.0,26178.0,97.0,1319.0
2018-10-09,26151.0,,,,26345.0,26044.0,469.0,26081.0,-86.0,1162.0
2018-10-08,26422.0,,,,26761.0,26161.0,497.0,26167.0,-307.0,1067.0
2018-10-05,26388.0,,,,26629.0,26346.0,347.0,26474.0,-105.0,876.0
2018-10-04,26875.0,,,,26908.0,26518.0,918.0,26579.0,-496.0,293.0
2018-10-03,27019.0,,,,27260.0,26897.0,345.0,27075.0,66.0,287.0
2018-10-02,27767.0,,,,27767.0,27018.0,468.0,27009.0,-885.0,109.0
2018-09-28,27869.0,,,,27944.0,27670.0,207.0,27894.0,,109.0
2018-09-27,27861.0,,,,27960.0,27628.0,182119.0,27708.0,-124.0,95982.0
2018-09-26,27555.0,,,,28049.0,27553.0,134906.0,27832.0,357.0,54473.0
2018-09-24,27835.0,,,,27835.0,27395.0,53367.0,27475.0,-471.0,17897.0
2018-09-21,27660.0,,,,27987.0,27518.0,21303.0,27946.0,487.0,9320.0
2018-09-20,27541.0,,,,27629.0,27300.0,3602.0,27459.0,50.0,8223.0
2018-09-19,27240.0,,,,27490.0,27050.0,2690.0,27409.0,375.0,7013.0
2018-09-18,26713.0,,,,27160.0,26601.0,2624.0,27034.0,148.0,5520.0
2018-09-17,26900.0,,,,27022.0,26703.0,990.0,26886.0,-362.0,5078.0
2018-09-14,27225.0,,,,27338.0,27000.0,850.0,27248.0,267.0,4864.0
2018-09-13,26690.0,,,,27032.0,26610.0,2134.0,26981.0,651.0,4297.0
2018-09-12,26330.0,,,,26423.0,26180.0,676.0,26330.0,37.0,4166.0
2018-09-11,26596.0,,,,26631.0,26288.0,1037.0,26293.0,-329.0,3353.0
2018-09-10,26718.0,,,,26830.0,26369.0,819.0,26622.0,-203.0,2807.0
2018-09-07,26801.0,,,,27138.0,26580.0,609.0,26825.0,-154.0,2436.0
2018-09-06,26984.0,,,,27200.0,26778.0,707.0,26979.0,-120.0,2053.0
2018-09-05,27707.0,,,,27796.0,27104.0,2152.0,27099.0,-776.0,511.0
2018-09-04,27548.0,,,,27921.0,27457.0,290.0,27875.0,230.0,405.0
2018-09-03,27668.0,,,,27780.0,27520.0,172.0,27645.0,-116.0,331.0
2018-08-31,27691.0,,,,27868.0,27650.0,497.0,27761.0,,331.0
2018-08-30,28520.0,,,,28520.0,28043.0,155114.0,28068.0,-216.0,97978.0
2018-08-29,28274.0,,,,28399.0,28177.0,96725.0,28284.0,65.0,74480.0
2018-08-28,28430.0,,,,28476.0,28127.0,60196.0,28219.0,38.0,46521.0
2018-08-27,27854.0,,,,28199.0,27821.0,38283.0,28181.0,678.0,24465.0
2018-08-24,27433.0,,,,27699.0,27372.0,9648.0,27503.0,-114.0,20064.0
2018-08-23,27819.0,,,,27903.0,27505.0,2555.0,27617.0,-157.0,19773.0
2018-08-22,27610.0,,,,27827.0,27444.0,2943.0,27774.0,224.0,19199.0
2018-08-21,27349.0,,,,27620.0,27349.0,2016.0,27550.0,114.0,19077.0
2018-08-20,27071.0,,,,27467.0,27065.0,1898.0,27436.0,382.0,18801.0
2018-08-17,27197.0,,,,27247.0,26932.0,1081.0,27054.0,93.0,18454.0
